SIST_CRIA;NIV_TERR;COD_TERR;NOM_TERR;CL_GAL;NOM_CL_GAL;E_CRIA_GAL;E_TEM_GAL;E_GAL_VEND;E_OVOS_PROD;E_OVOS_VEND;E_SUBS;E_COMERC;E_RECEBE_ORI;E_ORI_GOV;E_ORI_PROPRIA;E_ORI_COOP;E_ORI_EMP_INT;E_ORI_EMP_PRIV;E_ORI_ONG;E_ORI_SIST_S;E_ORI_OUTRA;E_GAL_ENG;E_GAL_GALOS;E_GAL_POED;E_GAL_MATR;E_ASSOC_COOP;E_FINANC;E_FINANC_COOP;E_FINANC_INTEG;E_DAP;E_AGRIFAM;E_N_AGRIFAM;E_PRODUTOR;E_COOPERATIVA;E_SA_LDTA;E_CNPJ;GAL_TOTAL;GAL_ENG;GAL_GALOS;GAL_POED;GAL_MATR;GAL_VEND;V_GAL_VEND;Q_DZ_PROD;Q_DZ_VEND;V_Q_DZ_PROD;V_Q_DZ_VEND;A_TOTAL;A_PAST_PLANT;A_LAV_PERM;A_LAV_TEMP;A_APPRL;VTP_AGRO;RECT_AGRO;N_TRAB_TOTAL;N_TRAB_LACOS
1-SIST_POC;BR;;Brasil;0;Sem galinaceos em 30.09.2017;2.034;;1.720;2.034;2.034;847;1.187;384;227;73;50;30;5;12;8;27;;;;;109;331;17;1;832;1.506;528;1.444;2;7;21;;;;;;61.227.890;56.843.582;31.487.035;29.628.762;140.143.552;123.651.049;43.659;12.245;1.194;4.221;8.476;229.476.335;207.444.664;5.574;4.310
1-SIST_POC;BR;;Brasil;1;De 1 a 100;459.872;459.872;192.739;459.872;459.872;187.703;272.169;99.378;50.799;21.956;23.317;12.856;2.199;1.515;986;4.197;;;;;58.643;85.443;11.358;951;194.536;378.620;81.252;288.373;25;92;3.857;19.180.145;;;;;6.407.980;130.256.377;117.419.464;71.024.987;663.571.873;405.733.045;13.671.587;3.750.842;273.124;1.382.486;2.362.452;14.092.575.261;10.861.425.716;1.261.265;1.069.294
1-SIST_POC;BR;;Brasil;2;De 101 a 200;31.471;31.471;20.976;31.471;31.471;7.591;23.880;9.849;4.568;2.893;2.313;1.105;208;75;127;380;;;;;5.857;6.683;1.128;77;11.485;24.369;7.102;20.442;11;15;545;4.843.661;;;;;2.131.404;49.069.864;22.979.617;16.583.137;135.641.961;96.891.696;1.956.458;730.789;31.222;174.561;422.909;2.270.434.248;1.821.257.258;99.610;76.110
1-SIST_POC;BR;;Brasil;3;De 201 a 500;3.985;3.985;2.924;3.985;3.985;694;3.291;1.419;635;529;281;98;27;12;27;64;3.444;2.944;3.488;;720;813;119;4;1.387;2.969;1.016;2.705;2;3;141;1.289.863;724.055;46.506;519.302;;952.602;20.978.706;9.968.112;8.254.943;56.531.951;46.519.253;302.719;113.375;5.198;29.831;66.130;411.081.568;349.880.286;14.191;9.657
1-SIST_POC;BR;;Brasil;4;De 501 a 1.000;724;724;451;724;724;64;660;334;146;124;59;37;8;1;7;17;452;340;673;;154;168;29;;295;550;174;491;2;4;43;557.229;225.291;12.282;319.656;;443.123;8.220.338;5.788.775;5.213.001;27.951.684;24.087.363;48.181;11.856;1.088;7.483;11.882;100.160.410;85.232.420;2.848;1.752
1-SIST_POC;BR;;Brasil;5;De 1.001 a 5.000;689;689;326;689;689;32;657;432;171;185;80;50;11;3;8;22;251;148;663;;199;206;41;2;300;520;169;424;1;6;65;1.797.588;321.913;20.592;1.455.083;;1.758.326;14.458.668;26.711.606;26.094.036;100.624.820;97.760.120;29.592;4.314;599;4.750;8.225;166.390.560;155.573.708;2.969;1.680
1-SIST_POC;BR;;Brasil;6;De 5.001 a 10.000;315;315;115;315;315;6;309;239;42;85;67;72;9;1;2;13;48;48;303;;141;102;21;1;143;207;108;201;2;4;34;2.479.643;250.821;30.296;2.198.526;;1.121.158;4.102.263;43.073.751;42.430.351;128.245.526;126.039.170;9.543;1.019;219;1.546;1.789;154.084.765;147.040.509;1.462;770
1-SIST_POC;BR;;Brasil;7;De 10.001 a 50.000;916;916;445;916;916;2;914;810;127;379;187;275;33;1;;30;185;171;885;;419;330;87;2;312;334;582;563;6;54;186;22.551.418;2.563.928;350.393;19.637.097;;14.181.747;55.647.680;461.268.550;452.114.146;1.386.836.629;1.369.803.644;31.832;4.931;993;7.780;5.795;1.540.477.252;1.506.958.729;8.006;2.229
1-SIST_POC;BR;;Brasil;8;De 50.001 a 100.000;260;260;171;260;260;2;258;230;21;157;44;52;8;;;12;74;43;252;;110;92;13;;29;22;238;173;;27;93;19.237.634;2.062.026;311.571;16.864.037;;8.255.541;30.415.038;362.878.791;353.766.545;1.021.348.732;994.956.562;21.524;1.279;1.002;4.880;3.790;1.115.263.572;1.076.679.664;5.437;586
1-SIST_POC;BR;;Brasil;9;De 100.001 e mais;290;290;227;290;290;;290;263;15;219;16;20;14;;;19;95;17;287;;78;109;14;;10;6;284;172;3;63;156;122.497.193;12.610.233;240.269;109.646.691;;155.723.436;227.831.727;2.232.488.324;2.173.574.628;6.290.192.110;6.122.531.360;44.510;8.731;1.607;5.813;9.292;6.880.453.058;6.691.579.453;23.594;646
